9,"t","Cost of Pollination: Released December 22, 2016, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
9,"t","Paid Pollinated Acres, Price per Acre, Colonies Used, Price per Colony, and"
9,"t","Total Value of Pollination – Region 3: 2016"
9,"t","[See regional listing on page 17]"
9,"h","","","","","",""
9,"h","","Region 3","Region 3","Region 3","Region 3","Region 3"
9,"h","","","","","",""
9,"h","Crop","Paid","Price per","Colonies","Price per","Total value"
9,"h","","pollinated acres","acre","used","colony","of pollination"
9,"h","","","","","",""
9,"u","","(acres)","(dollars)","(colonies)","(dollars)","(1,000 dollars)"
9,"d","Tree Fruit",,,,,
9,"d","  Other tree fruit 1/",7000,16.5,7500,38.0,285
9,"d","",,,,,
9,"d","Citrus",,,,,
9,"d","  Orange",6700,1.3,38000,16.4,623
9,"d","",,,,,
9,"d","Melons",,,,,
9,"d","  Cantaloupe",3650,47.1,4100,49.8,204
9,"d","  Watermelon",28200,59.5,31000,58.7,1820
9,"d","",,,,,
9,"d","Berries",,,,,
9,"d","  Blueberry",3150,87.5,8500,43.3,368
9,"d","",,,,,
9,"d","Vegetables",,,,,
9,"d","  Cucumber",5700,56.8,7500,47.5,356
9,"d","  Pumpkin",2250,73.4,2400,74.0,178
9,"d","  Squash",3700,67.3,7500,41.7,313
9,"d","",,,,,
9,"d","All other 2/",2100,39.0,14500,38.7,561
9,"c",""
9,"f","1/ Includes other tree fruit."
9,"f","2/ Includes any crops not categorized above."
