3,"t","Cost of Pollination: Released December 22, 2016, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
3,"t","Paid Pollinated Acres, Price per Acre, Colonies Used, Price per Colony, and"
3,"t","Total Value of Pollination – Region 3: 2015"
3,"t","[See regional listing on page 17]"
3,"h","","","","","",""
3,"h","","Region 3","Region 3","Region 3","Region 3","Region 3"
3,"h","","","","","",""
3,"h","Crop","Paid","Price per","Colonies","Price per","Total value"
3,"h","","pollinated acres","acre","used","colony","of pollination"
3,"h","","","","","",""
3,"u","","(acres)","(dollars)","(colonies)","(dollars)","(1,000 dollars)"
3,"d","Tree Fruit",,,,,
3,"d","  Other tree fruit 1/",5500,16.9,4800,26.7,128
3,"d","",,,,,
3,"d","Melons",,,,,
3,"d","  Watermelon",29600,48.5,26000,60.4,1570
3,"d","  Other melons 2/",2450,71.0,3200,58.6,188
3,"d","",,,,,
3,"d","Berries",,,,,
3,"d","  Blueberry",4650,90.0,13000,48.1,625
3,"d","",,,,,
3,"d","Vegetables",,,,,
3,"d","  Cucumber",9900,40.7,14000,46.7,654
3,"d","  Pumpkin",3000,68.3,3000,70.3,211
3,"d","  Squash",2650,65.1,4300,49.5,213
3,"d","",,,,,
3,"d","All other 3/",4300,25.4,47000,38.7,1819
3,"c",""
3,"f","1/ Includes other tree fruit."
3,"f","2/ Includes other melons."
3,"f","3/ Includes any crops not categorized above."
