10,"t","Cost of Pollination: Released December 22, 2016, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
10,"t","Paid Pollinated Acres, Price per Acre, Colonies Used, Price per Colony, and"
10,"t","Total Value of Pollination – Region 4: 2016"
10,"t","[See regional listing on page 17]"
10,"h","","","","","",""
10,"h","","Region 4","Region 4","Region 4","Region 4","Region 4"
10,"h","","","","","",""
10,"h","Crop","Paid","Price per","Colonies","Price per","Total value"
10,"h","","pollinated acres","acre","used","colony","of pollination"
10,"h","","","","","",""
10,"u","","(acres)","(dollars)","(colonies)","(dollars)","(1,000 dollars)"
10,"d","Tree fruit",,,,,
10,"d","  Apple",3000,32.5,3900,45.5,177
10,"d","  Cherry",3100,27.5,3100,34.3,106
10,"d","",,,,,
10,"d","Vegetables",,,,,
10,"d","  Pumpkin",3850,26.7,2500,80.3,201
10,"d","",,,,,
10,"d","All other 1/",3400,71.9,35000,57.9,2027
10,"c",""
10,"f","1/ Includes any crops not categorized above."
