2,"t","Cost of Pollination: Released December 22, 2016, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
2,"t","Paid Pollinated Acres, Price per Acre, Colonies Used, Price per Colony, and"
2,"t","Total Value of Pollination – Region 1: 2015"
2,"t","[See regional listing on page 17]"
2,"h","","","","","",""
2,"h","","Region 1","Region 1","Region 1","Region 1","Region 1"
2,"h","","","","","",""
2,"h","Crop","Paid","Price per","Colonies","Price per","Total value"
2,"h","","pollinated acres","acre","used","colony","of pollination"
2,"h","","","","","",""
2,"u","","(acres)","(dollars)","(colonies)","(dollars)","(1,000 dollars)"
2,"d","Tree fruit",,,,,
2,"d","  Apple",78300,28.3,35000,64.6,2261
2,"d","  Cherry",28700,30.7,19000,47.7,906
2,"d","  Other tree fruit 1/",3300,29.7,2400,55.0,132
2,"d","",,,,,
2,"d","Melons",,,,,
2,"d","  Watermelon",4850,51.2,3900,73.0,285
2,"d","",,,,,
2,"d","Berries",,,,,
2,"d","  Blueberry",44900,167.0,85000,94.7,8050
2,"d","  Cranberry",30800,166.0,72000,70.5,5076
2,"d","",,,,,
2,"d","Vegetables",,,,,
2,"d","  Cucumber",28800,28.3,12000,63.6,763
2,"d","  Pumpkin",11500,35.4,7500,76.7,575
2,"d","  Squash",8500,27.0,4600,57.5,265
2,"d","  Other vegetables 2/",2050,25.4,2500,49.9,125
2,"d","",,,,,
2,"d","All other 3/",4150,46.8,7000,65.8,461
2,"c",""
2,"f","1/ Includes other tree fruit."
2,"f","2/ Includes other vegetables."
2,"f","3/ Includes any crops not categorized above."
